User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U13309,46,Female,Jaipur,OnePlus,Android,2.4,37.3,197.9,16,1.6,5194,4.9,0.8,551,Work
U13310,27,Male,Kolkata,Samsung,Android,4.6,43.5,205.1,91,1.4,2309,2.6,0.7,796,Entertainment
U13311,37,Other,Pune,OnePlus,Android,7.0,33.0,164.6,57,1.4,3199,4.7,4.9,1662,Entertainment
U13312,17,Other,Ahmedabad,Oppo,iOS,3.1,16.5,78.8,64,5.0,1089,7.0,0.8,1545,Work
U13313,57,Male,Kolkata,Motorola,iOS,4.7,12.6,196.3,83,4.4,2641,2.0,0.1,1403,Education
U13314,55,Other,Ahmedabad,Google Pixel,Android,10.7,8.7,54.7,165,5.4,8103,4.3,4.5,1082,Gaming
U13315,58,Female,Lucknow,Google Pixel,iOS,10.9,47.7,127.7,19,2.4,9497,3.7,2.8,218,Education
U13316,36,Female,Delhi,Oppo,Android,4.8,48.4,261.4,69,5.7,3440,7.5,3.3,486,Work
U13317,30,Male,Bangalore,Google Pixel,iOS,10.6,44.0,101.5,104,0.5,7918,6.3,4.6,1361,Education
U13318,20,Male,Hyderabad,Vivo,Android,3.2,38.5,182.8,119,2.6,7037,4.8,2.4,1792,Gaming
U13319,32,Female,Lucknow,Apple,iOS,8.6,2.3,226.5,86,5.6,6787,2.5,3.1,1170,Gaming
U13320,33,Female,Jaipur,Nokia,iOS,8.6,29.9,25.5,47,1.7,9359,1.8,4.0,744,Entertainment
U13321,19,Female,Chennai,Realme,iOS,1.3,18.1,63.7,34,1.3,6071,4.4,3.3,846,Gaming
U13322,43,Male,Chennai,Samsung,Android,7.8,46.6,216.2,151,0.9,5357,5.0,0.3,1255,Entertainment
U13323,16,Female,Mumbai,Realme,Android,2.5,3.5,193.9,124,0.9,7876,3.5,4.7,1099,Education
U13324,37,Female,Pune,Samsung,iOS,4.4,23.4,230.8,112,3.9,9833,3.4,2.7,1118,Social Media
U13325,36,Female,Bangalore,OnePlus,Android,9.2,30.4,22.2,119,3.0,356,5.3,1.0,1624,Entertainment
U13326,17,Female,Jaipur,Motorola,iOS,2.8,10.5,69.1,43,1.9,6421,1.7,0.2,246,Social Media
U13327,15,Other,Pune,Realme,iOS,3.3,13.3,21.9,95,3.9,1833,6.2,2.0,1486,Entertainment
U13328,34,Male,Chennai,Google Pixel,Android,7.6,25.5,126.8,47,5.1,4506,4.4,2.6,1325,Entertainment
U13329,28,Other,Delhi,Xiaomi,Android,4.6,17.3,198.9,116,5.0,4584,3.5,1.1,770,Work
U13330,51,Male,Chennai,Xiaomi,Android,4.5,16.2,110.1,25,3.4,4556,2.4,3.7,1912,Entertainment
U13331,57,Male,Lucknow,Realme,Android,7.6,32.1,103.2,136,5.6,9556,1.3,1.5,1272,Social Media
U13332,46,Female,Lucknow,Xiaomi,Android,9.6,40.7,157.1,141,1.5,735,0.8,1.3,987,Work
U13333,25,Female,Chennai,Xiaomi,iOS,8.9,34.2,37.2,106,4.2,5146,4.3,3.6,1163,Gaming
U13334,54,Male,Lucknow,Nokia,iOS,10.1,34.4,85.5,90,1.9,5380,5.7,3.0,1434,Work
U13335,50,Male,Kolkata,Apple,Android,10.3,5.9,37.5,57,2.4,8648,2.3,4.5,1135,Social Media
U13336,30,Other,Jaipur,OnePlus,Android,5.7,37.1,62.6,188,3.4,4428,6.0,2.0,614,Gaming
U13337,58,Female,Chennai,Nokia,Android,11.9,49.2,253.1,42,2.9,4414,3.3,1.2,1548,Entertainment
U13338,28,Other,Kolkata,Google Pixel,iOS,7.0,27.1,50.0,106,2.2,1421,7.2,3.7,1521,Entertainment
U13339,24,Other,Ahmedabad,Samsung,iOS,5.9,34.4,141.7,193,5.5,4865,3.4,4.4,1465,Work
U13340,42,Other,Chennai,Motorola,Android,11.0,42.8,261.4,150,5.5,215,0.9,4.3,1185,Gaming
U13341,42,Male,Delhi,Samsung,Android,10.3,4.2,191.2,23,3.7,1963,4.2,2.2,1111,Entertainment
U13342,23,Other,Chennai,Nokia,iOS,3.5,48.0,23.1,12,0.7,2764,6.8,0.7,1660,Social Media
U13343,16,Other,Mumbai,Xiaomi,iOS,11.8,24.4,66.5,105,2.4,8853,5.8,2.6,1110,Work
U13344,47,Other,Ahmedabad,Motorola,Android,10.0,29.9,104.7,73,0.7,5265,2.1,0.5,1777,Social Media
U13345,48,Female,Bangalore,Nokia,iOS,5.3,38.9,164.5,149,5.2,9614,3.4,0.9,991,Social Media
U13346,48,Male,Bangalore,Google Pixel,iOS,10.1,23.3,163.8,179,0.5,4178,7.9,1.8,396,Education
U13347,48,Female,Ahmedabad,Apple,Android,1.4,14.1,274.3,53,1.2,175,7.4,4.0,383,Entertainment
U13348,56,Male,Delhi,Google Pixel,iOS,2.8,35.5,34.1,157,4.4,2803,4.7,3.5,954,Social Media
U13349,43,Other,Delhi,Apple,Android,8.9,21.1,258.8,49,4.4,488,7.1,0.3,208,Gaming
U13350,25,Other,Mumbai,Apple,Android,5.3,23.6,225.1,122,1.5,5861,1.9,2.1,308,Work
U13351,54,Other,Pune,Motorola,Android,6.9,23.7,113.4,188,1.7,5374,5.6,0.5,1357,Work
U13352,51,Other,Lucknow,Realme,Android,7.7,13.0,175.5,160,3.8,7870,6.8,2.5,864,Education
U13353,51,Other,Hyderabad,Nokia,iOS,9.2,27.3,53.2,60,5.6,7842,2.8,4.4,1588,Social Media
U13354,44,Female,Mumbai,Apple,iOS,2.0,35.1,226.5,121,5.2,473,3.8,4.1,1690,Entertainment
U13355,37,Female,Bangalore,Realme,Android,3.9,22.5,184.6,131,5.6,7012,6.8,4.2,449,Work
U13356,59,Other,Mumbai,Realme,iOS,9.6,11.0,279.0,90,4.3,4472,7.6,0.2,931,Education
U13357,44,Male,Delhi,Samsung,Android,8.3,45.5,136.9,17,1.0,8859,2.9,2.5,262,Gaming
U13358,60,Female,Ahmedabad,Xiaomi,Android,7.3,41.5,220.0,193,3.3,7656,0.9,4.6,147,Entertainment
U13359,29,Male,Hyderabad,Google Pixel,iOS,8.5,17.6,143.2,92,1.3,565,4.9,0.6,434,Gaming
U13360,28,Other,Kolkata,Vivo,iOS,11.1,2.5,45.0,145,1.6,740,5.1,0.8,964,Gaming
U13361,52,Other,Mumbai,Motorola,Android,5.3,21.9,204.5,44,2.2,838,7.4,3.9,190,Entertainment
U13362,58,Female,Ahmedabad,Xiaomi,iOS,3.1,9.4,149.3,164,0.7,1277,3.6,4.5,1080,Education
U13363,46,Male,Mumbai,Motorola,Android,1.7,5.1,9.5,123,0.5,2602,5.3,4.2,1067,Gaming
U13364,47,Other,Hyderabad,OnePlus,Android,8.5,19.6,234.7,123,0.7,5459,5.3,2.8,1771,Social Media
U13365,23,Male,Bangalore,Xiaomi,iOS,8.2,35.9,80.4,109,0.7,2411,7.2,2.1,1693,Gaming
U13366,55,Other,Bangalore,Xiaomi,iOS,8.3,32.4,34.3,30,1.8,7394,4.1,3.9,1874,Work
U13367,16,Male,Lucknow,OnePlus,iOS,7.9,37.9,167.6,18,5.6,1080,1.3,0.1,1391,Education
U13368,46,Female,Lucknow,Motorola,iOS,5.7,34.2,176.9,175,1.2,6220,7.0,4.8,1765,Gaming
U13369,47,Other,Bangalore,Apple,iOS,11.3,38.2,23.6,193,5.8,3677,5.2,0.1,1552,Work
U13370,59,Female,Chennai,Nokia,iOS,4.8,16.3,185.7,127,1.8,3209,1.2,3.0,1326,Education
U13371,38,Other,Delhi,Samsung,iOS,3.6,8.7,91.2,168,1.6,9579,1.8,4.6,1300,Entertainment
U13372,23,Female,Lucknow,Xiaomi,iOS,10.3,46.2,221.0,161,2.6,6846,2.7,4.0,846,Work
U13373,28,Male,Bangalore,Realme,iOS,5.0,9.9,123.3,177,0.6,5570,1.1,3.9,1024,Social Media
U13374,55,Other,Kolkata,Samsung,iOS,8.3,7.1,165.3,96,1.5,3514,6.2,3.5,1271,Social Media
U13375,19,Female,Ahmedabad,OnePlus,iOS,6.1,27.3,205.4,125,3.5,1053,4.8,3.7,602,Entertainment
U13376,20,Female,Ahmedabad,Xiaomi,iOS,7.7,46.6,30.1,188,0.5,657,3.9,0.5,1812,Entertainment
U13377,43,Male,Chennai,Vivo,Android,8.3,24.5,205.5,19,0.7,7061,5.0,4.1,1902,Social Media
U13378,45,Male,Pune,Vivo,Android,2.6,34.0,86.2,16,2.0,6206,4.7,3.1,298,Work
U13379,15,Male,Bangalore,Apple,iOS,3.8,9.5,258.3,103,1.3,5496,7.3,4.5,1713,Work
U13380,20,Male,Hyderabad,Realme,iOS,11.6,9.8,270.1,71,4.7,1366,7.9,3.2,1217,Social Media
U13381,32,Female,Hyderabad,Google Pixel,iOS,8.9,38.1,193.6,144,1.1,9550,5.0,3.9,629,Entertainment
U13382,45,Male,Pune,Vivo,Android,2.0,48.7,27.3,65,1.4,6203,7.6,2.3,1731,Social Media
U13383,53,Other,Mumbai,Apple,iOS,6.4,48.7,27.1,160,2.1,5474,0.8,0.0,1063,Social Media
U13384,33,Female,Bangalore,Xiaomi,iOS,6.4,48.2,182.7,115,2.5,8866,4.7,4.5,777,Education
U13385,46,Female,Lucknow,Xiaomi,iOS,1.4,16.5,273.3,61,3.1,3109,7.3,4.2,354,Social Media
U13386,44,Other,Chennai,Vivo,iOS,10.9,15.8,84.2,66,0.6,8288,5.3,1.4,1648,Gaming
U13387,39,Female,Jaipur,Motorola,iOS,9.9,15.4,72.1,127,5.7,357,1.6,5.0,830,Social Media
U13388,30,Other,Delhi,Vivo,Android,6.3,15.1,235.5,197,4.0,8619,3.3,2.2,1060,Education
U13389,43,Other,Hyderabad,Motorola,Android,8.9,22.2,265.5,30,2.2,8268,5.7,1.4,1282,Work
U13390,46,Other,Delhi,Samsung,Android,10.4,31.0,12.4,93,1.8,6707,3.4,2.0,1738,Work
U13391,33,Other,Bangalore,Xiaomi,iOS,7.6,39.8,188.4,113,5.5,7191,3.4,4.8,1533,Entertainment
U13392,54,Female,Delhi,Vivo,iOS,10.4,3.5,182.5,81,3.7,5076,0.9,3.8,195,Gaming
U13393,56,Male,Delhi,Motorola,iOS,8.6,3.6,173.1,102,1.5,3926,2.4,3.2,316,Education
U13394,51,Male,Pune,OnePlus,Android,7.9,24.4,218.4,55,5.4,7612,0.9,3.2,126,Education
U13395,18,Male,Mumbai,Xiaomi,iOS,2.2,1.8,155.9,69,3.2,3578,2.0,3.2,1955,Education
U13396,18,Female,Pune,Oppo,iOS,4.3,32.7,211.1,147,3.2,3530,2.8,4.8,527,Entertainment
U13397,29,Other,Lucknow,Google Pixel,Android,5.0,42.6,147.1,145,0.6,4096,5.2,2.3,1413,Gaming
U13398,46,Male,Lucknow,Google Pixel,Android,10.6,46.8,135.8,122,3.8,9422,2.2,2.6,412,Entertainment
U13399,38,Female,Kolkata,Oppo,iOS,2.6,6.4,184.4,122,1.1,8148,6.1,1.1,326,Work
U13400,43,Male,Jaipur,Oppo,Android,2.8,18.7,189.1,10,4.4,7778,5.7,4.6,330,Gaming
U13401,40,Other,Bangalore,Oppo,Android,2.2,25.1,132.7,49,4.2,7686,6.9,3.4,741,Social Media
U13402,19,Other,Jaipur,Google Pixel,iOS,8.3,8.9,115.2,94,1.7,7625,1.2,1.4,1669,Work
U13403,54,Female,Lucknow,Realme,iOS,11.6,45.4,100.8,57,3.7,9674,5.4,1.3,221,Gaming
U13404,25,Male,Kolkata,Realme,iOS,9.8,9.9,98.5,50,2.4,9199,1.9,3.2,1685,Social Media
U13405,51,Male,Jaipur,Oppo,Android,3.0,4.8,92.8,16,4.3,8455,4.0,3.7,1930,Gaming
U13406,60,Other,Ahmedabad,Apple,iOS,1.6,50.0,10.0,65,5.3,3711,5.6,1.7,1066,Education
U13407,30,Male,Jaipur,Realme,Android,10.9,27.9,210.0,193,4.3,7003,1.3,2.7,1360,Work
U13408,42,Male,Ahmedabad,Google Pixel,Android,4.0,6.3,202.4,39,1.7,9151,3.3,1.9,1595,Entertainment
U13409,47,Male,Jaipur,Motorola,Android,4.2,9.9,35.7,24,1.6,7690,6.9,2.9,1727,Work
U13410,46,Other,Kolkata,Google Pixel,Android,1.5,11.6,273.5,87,3.0,8209,2.5,1.0,1879,Social Media
U13411,46,Female,Mumbai,Realme,iOS,2.4,35.9,98.2,10,6.0,1874,1.2,0.6,1015,Education
U13412,15,Other,Delhi,Google Pixel,Android,6.1,43.6,74.5,100,1.3,4306,1.2,2.7,1812,Entertainment
U13413,18,Female,Lucknow,Xiaomi,iOS,2.5,33.5,12.3,154,3.6,1802,5.9,3.4,738,Entertainment
U13414,48,Male,Bangalore,Apple,iOS,11.9,36.6,147.7,188,5.5,3349,5.4,2.1,530,Entertainment
U13415,27,Other,Kolkata,Samsung,iOS,7.5,42.6,59.2,43,0.6,8757,4.3,3.4,1990,Gaming
U13416,46,Male,Mumbai,Realme,Android,4.8,18.5,114.5,195,0.5,3857,5.7,0.4,1405,Education
U13417,42,Male,Jaipur,Xiaomi,Android,9.2,41.2,67.2,126,5.6,4636,4.3,3.2,1973,Entertainment
U13418,43,Other,Bangalore,Motorola,iOS,8.1,34.4,275.7,135,1.7,6046,4.8,0.6,1682,Gaming
U13419,45,Female,Hyderabad,Realme,iOS,4.0,36.2,34.8,88,4.2,2833,4.8,3.1,1812,Gaming
U13420,53,Other,Mumbai,Xiaomi,iOS,6.9,7.0,27.2,58,3.8,7890,3.1,3.0,1051,Entertainment
U13421,31,Female,Chennai,Google Pixel,iOS,8.2,20.7,61.2,31,1.3,9748,4.7,2.4,1088,Work
U13422,25,Other,Chennai,Vivo,Android,2.6,2.2,153.1,119,4.7,8140,7.1,2.5,516,Entertainment
U13423,44,Female,Lucknow,Motorola,iOS,10.4,21.0,40.7,86,3.3,8821,0.5,1.8,945,Work
U13424,56,Female,Kolkata,Motorola,iOS,8.6,31.4,187.0,13,0.7,2390,2.3,3.2,1316,Social Media
U13425,46,Female,Jaipur,Vivo,iOS,2.5,24.2,7.0,62,1.4,2374,3.5,2.6,666,Entertainment
U13426,45,Other,Delhi,OnePlus,Android,6.2,7.0,282.8,142,2.8,4005,3.3,3.9,1119,Entertainment
U13427,46,Other,Chennai,Oppo,Android,9.8,12.6,152.8,147,3.6,1129,6.8,0.7,819,Education
U13428,15,Other,Bangalore,Samsung,Android,10.1,29.7,228.5,195,1.8,4079,3.5,1.0,1823,Gaming
U13429,19,Female,Mumbai,Nokia,iOS,7.6,30.5,137.1,119,5.3,9108,1.7,4.3,1446,Work
U13430,52,Other,Pune,Oppo,iOS,7.2,8.0,236.2,13,1.7,7628,3.1,3.1,576,Education
U13431,26,Other,Hyderabad,Motorola,Android,11.5,7.1,55.5,130,5.8,1960,6.4,0.3,1702,Gaming
U13432,35,Male,Mumbai,Vivo,Android,1.5,24.7,45.1,160,2.3,9907,4.9,3.0,989,Education
U13433,28,Male,Jaipur,Samsung,Android,7.2,40.6,68.9,127,2.3,751,1.0,0.9,1558,Work
U13434,17,Female,Hyderabad,Nokia,iOS,8.9,15.4,155.8,138,1.1,514,4.8,2.2,162,Social Media
U13435,35,Female,Ahmedabad,Motorola,iOS,1.8,48.6,199.8,153,3.9,8354,6.3,4.7,146,Education
U13436,59,Female,Jaipur,Motorola,Android,2.7,36.7,196.1,17,4.3,8957,2.0,3.9,572,Work
U13437,31,Other,Bangalore,Realme,Android,8.7,47.8,130.8,82,4.6,8003,2.7,4.1,1114,Education
U13438,60,Other,Delhi,Samsung,Android,5.0,28.5,264.4,38,1.2,1318,2.2,4.0,621,Gaming
U13439,57,Male,Hyderabad,Samsung,iOS,5.1,8.4,111.8,102,2.7,1335,6.8,0.3,1704,Entertainment
U13440,53,Male,Bangalore,Motorola,Android,11.2,43.1,242.0,90,3.1,8292,7.0,1.3,188,Social Media
U13441,31,Female,Chennai,Google Pixel,iOS,2.7,42.7,198.2,56,4.2,8360,0.6,1.0,350,Education
U13442,34,Other,Delhi,Oppo,Android,1.3,47.3,33.1,85,2.6,8447,5.3,4.8,477,Work
U13443,60,Female,Hyderabad,Motorola,Android,5.9,12.8,129.7,121,0.8,2180,4.7,2.0,272,Social Media
U13444,48,Other,Kolkata,OnePlus,Android,1.2,49.9,149.1,34,4.3,972,3.6,1.7,559,Social Media
U13445,31,Other,Chennai,Vivo,iOS,6.6,11.3,153.1,135,0.6,6420,0.7,5.0,1942,Gaming
U13446,58,Other,Chennai,Xiaomi,iOS,8.6,12.1,66.4,12,3.9,8090,6.9,3.3,1837,Entertainment
U13447,49,Other,Ahmedabad,Realme,iOS,4.5,26.4,241.0,42,5.4,1007,0.6,2.3,1787,Gaming
U13448,58,Other,Bangalore,Apple,iOS,9.1,1.5,267.7,18,4.1,1111,2.9,4.9,1557,Social Media
U13449,45,Other,Mumbai,OnePlus,Android,11.0,21.9,175.3,31,1.8,3899,1.1,2.1,1008,Entertainment
U13450,54,Female,Jaipur,OnePlus,Android,1.1,41.5,205.1,126,1.2,372,5.1,4.8,1511,Education
U13451,56,Male,Chennai,Samsung,iOS,3.0,33.4,231.9,104,5.2,7604,7.3,3.1,1084,Entertainment
U13452,28,Other,Jaipur,Apple,Android,3.6,1.7,135.6,139,5.7,7333,5.0,2.7,1189,Social Media
U13453,26,Female,Mumbai,Google Pixel,iOS,4.5,48.2,286.0,65,5.8,8086,5.6,1.0,1476,Education
U13454,26,Male,Chennai,Apple,iOS,4.5,9.3,205.4,123,3.6,6790,2.6,1.7,1786,Gaming
U13455,36,Female,Mumbai,Xiaomi,iOS,8.7,10.3,172.0,158,1.9,7855,7.1,4.3,208,Gaming
U13456,48,Female,Jaipur,Oppo,Android,7.5,29.0,293.6,119,5.7,6084,4.8,4.2,1982,Entertainment
U13457,54,Female,Chennai,Samsung,Android,5.7,19.8,56.1,93,4.0,7680,5.1,0.9,1178,Work
U13458,53,Male,Bangalore,Apple,iOS,5.0,10.6,289.0,53,5.2,9760,0.6,0.9,1297,Work
U13459,58,Male,Bangalore,Nokia,Android,4.0,13.8,41.3,110,3.1,6149,1.8,4.5,1875,Work
U13460,17,Other,Lucknow,Vivo,Android,7.1,24.5,97.0,31,0.8,1881,4.4,1.3,1677,Work
U13461,42,Male,Bangalore,Samsung,Android,11.6,21.3,165.3,60,1.4,9756,6.5,0.8,1656,Work
U13462,58,Male,Pune,Apple,Android,2.3,9.2,224.3,112,1.5,1574,4.1,1.6,1392,Entertainment
U13463,22,Other,Ahmedabad,OnePlus,Android,2.5,31.4,146.6,92,2.8,7251,5.9,2.4,1798,Social Media
U13464,52,Male,Kolkata,Vivo,Android,6.7,7.8,157.6,106,5.5,3709,2.4,2.0,1565,Gaming
U13465,48,Other,Delhi,Nokia,iOS,1.8,48.8,265.3,62,3.7,5972,2.6,1.1,1428,Education
U13466,20,Male,Ahmedabad,Nokia,Android,6.9,36.3,131.1,87,5.1,6510,1.6,1.4,820,Gaming
U13467,32,Male,Delhi,Motorola,iOS,10.0,18.8,293.9,67,4.9,4657,7.5,3.7,458,Gaming
U13468,54,Other,Lucknow,Nokia,iOS,11.5,33.2,275.5,185,4.9,5841,1.5,2.0,587,Social Media
U13469,41,Male,Mumbai,Google Pixel,iOS,9.4,35.6,249.9,62,0.8,4751,0.5,0.3,880,Work
U13470,27,Other,Hyderabad,OnePlus,iOS,4.0,39.9,209.4,171,3.4,722,3.1,4.3,266,Gaming
U13471,56,Male,Pune,Samsung,iOS,10.9,3.7,91.2,178,2.0,4315,1.4,4.2,254,Education
U13472,41,Male,Bangalore,Realme,iOS,10.5,47.9,150.7,24,2.2,7872,1.8,4.5,1169,Entertainment
U13473,55,Female,Pune,Oppo,iOS,7.2,11.3,100.6,157,4.0,990,1.9,2.6,286,Social Media
U13474,51,Other,Bangalore,Xiaomi,Android,8.0,18.5,191.9,193,3.3,1138,0.8,2.1,1904,Social Media
U13475,34,Male,Mumbai,Xiaomi,iOS,2.0,9.8,186.7,104,3.2,8029,4.5,1.7,509,Work
U13476,39,Male,Lucknow,Realme,iOS,10.0,33.3,250.6,35,1.9,8101,1.3,4.9,1412,Education
U13477,42,Other,Delhi,OnePlus,Android,10.8,11.0,242.4,101,2.2,1484,7.7,0.2,740,Education
U13478,24,Female,Ahmedabad,Xiaomi,iOS,4.0,19.3,216.4,44,5.0,362,4.4,4.4,1032,Education
U13479,41,Male,Mumbai,Google Pixel,iOS,6.9,33.8,145.0,35,2.2,5099,2.7,2.4,177,Education
U13480,27,Female,Mumbai,Google Pixel,iOS,1.7,33.5,127.0,83,1.1,103,6.1,1.0,371,Work
U13481,54,Female,Mumbai,OnePlus,iOS,4.5,41.1,36.4,149,2.9,8280,5.0,0.2,553,Work
U13482,19,Female,Ahmedabad,Google Pixel,iOS,3.6,43.4,217.3,200,2.9,4091,0.6,2.2,762,Entertainment
U13483,44,Male,Bangalore,OnePlus,iOS,6.3,48.6,85.4,84,4.7,9262,4.8,0.0,1017,Education
U13484,16,Other,Jaipur,Oppo,Android,7.7,17.2,89.6,100,2.6,9060,5.9,2.8,1489,Social Media
U13485,20,Other,Pune,Samsung,iOS,9.6,45.3,270.7,133,5.0,1103,5.2,1.4,1624,Social Media
U13486,51,Other,Hyderabad,Realme,Android,1.4,10.4,87.5,110,2.9,4029,6.2,3.4,1219,Entertainment
U13487,32,Male,Delhi,Oppo,Android,4.8,28.9,144.2,136,3.4,8781,6.4,4.3,695,Entertainment
U13488,24,Other,Hyderabad,Samsung,Android,10.5,42.6,149.9,27,5.3,7992,6.8,1.2,1070,Entertainment
U13489,29,Other,Delhi,Realme,Android,7.9,43.8,12.1,33,5.5,7508,2.8,2.2,1246,Entertainment
U13490,58,Male,Kolkata,Samsung,iOS,4.1,17.5,181.3,107,0.8,196,5.8,2.9,1899,Social Media
U13491,37,Other,Pune,Google Pixel,Android,7.3,16.3,146.0,135,2.2,1571,1.7,3.1,132,Gaming
